1:00, 2: 0, 3: 0, 4: 0, roll: 0.01, pitch: 0.00, yaw: 0.23,0,0,0, Alt: 6.00, Integrators ON
0.667361111, 2: 901, 3: 901, 4: 901, roll: 0.01, pitch: 0.00, yaw: 0.23,0,0,0, Alt: 6.00, Integrators ON
0.720833333, 2: 978, 3: 978, 4: 978, roll: 0.01, pitch: 0.00, yaw: 0.23,0,0,0, Alt: 6.00, Integrators ON
0.761111111, 2: 1036, 3: 1036, 4: 1036, roll: 0.01, pitch: 0.00, yaw: 0.23,0,0,0, Alt: 6.00, Integrators ON
0.791666667, 2: 1079, 3: 1080, 4: 1080, roll: 0.01, pitch: 0.00, yaw: 0.23,0,0,0, Alt: 6.00, Integrators ON
0.813888889, 2: 1112, 3: 1113, 4: 1113, roll: 0.01, pitch: 0.00, yaw: 0.23,0,0,0, Alt: 6.00, Integrators ON
0.83125, 2: 1136, 3: 1137, 4: 1138, roll: 0.01, pitch: 0.00, yaw: 0.23,0,0,0, Alt: 6.00, Integrators ON
0.84375, 2: 1155, 3: 1156, 4: 1156, roll: 0.01, pitch: 0.00, yaw: 0.23,0,0,0, Alt: 6.00, Integrators ON
0.853472222, 2: 1169, 3: 1170, 4: 1170, roll: 0.01, pitch: 0.00, yaw: 0.23,0,0,0, Alt: 6.00, Integrators ON
0.860416667, 2: 1179, 3: 1180, 4: 1180, roll: 0.01, pitch: 0.00, yaw: 0.23,0,0,0, Alt: 6.00, Integrators ON
0.865972222, 2: 1187, 3: 1188, 4: 1188, roll: 0.01, pitch: 0.00, yaw: 0.24,0,0,-0.004, Alt: 6.00, Integrators ON
0.870138889, 2: 1192, 3: 1194, 4: 1194, roll: 0.01, pitch: 0.00, yaw: 0.24,0,0,-0.005, Alt: 6.00, Integrators ON
0.872916667, 2: 1197, 3: 1198, 4: 1198, roll: 0.01, pitch: 0.00, yaw: 0.24,0,0,0.006, Alt: 6.00, Integrators ON
0.875, 2: 1200, 3: 1201, 4: 1202, roll: 0.01, pitch: 0.00, yaw: 0.23,0,0,0.011, Alt: 6.00, Integrators ON
0.877083333, 2: 1202, 3: 1204, 4: 1204, roll: 0.01, pitch: 0.00, yaw: 0.23,0,-0.001,0.001, Alt: 6.00, Integrators ON
0.878472222, 2: 1204, 3: 1206, 4: 1206, roll: 0.01, pitch: 0.00, yaw: 0.23,0.001,-0.001,-0.002, Alt: 6.00, Integrators ON
0.879166667, 2: 1206, 3: 1207, 4: 1207, roll: 0.01, pitch: 0.00, yaw: 0.24,-0.001,0,-0.008, Alt: 6.00, Integrators ON
0.879861111, 2: 1207, 3: 1208, 4: 1208, roll: 0.01, pitch: 0.00, yaw: 0.24,0,0,-0.008, Alt: 6.00, Integrators ON
0.880555556, 2: 1207, 3: 1209, 4: 1209, roll: 0.01, pitch: 0.00, yaw: 0.24,0.002,0.001,0.001, Alt: 6.00, Integrators ON
0.880555556, 2: 1208, 3: 1209, 4: 1210, roll: 0.01, pitch: 0.00, yaw: 0.24,0.004,0.001,-0.012, Alt: 6.00, Integrators ON
0.88125, 2: 1209, 3: 1210, 4: 1210, roll: 0.01, pitch: 0.00, yaw: 0.24,0.001,-0.001,-0.01, Alt: 6.00, Integrators ON
0.88125, 2: 1209, 3: 1210, 4: 1210, roll: 0.01, pitch: 0.00, yaw: 0.24,0.001,0,0.01, Alt: 6.00, Integrators ON
0.88125, 2: 1209, 3: 1210, 4: 1211, roll: 0.01, pitch: 0.00, yaw: 0.23,-0.002,-0.001,0.027, Alt: 6.00, Integrators ON
0.88125, 2: 1209, 3: 1211, 4: 1211, roll: 0.01, pitch: 0.00, yaw: 0.23,-0.004,0,0.026, Alt: 6.00, Integrators ON
0.88125, 2: 1209, 3: 1211, 4: 1211, roll: 0.01, pitch: 0.00, yaw: 0.23,0,0.002,0.019, Alt: 6.00, Integrators ON
0.88125, 2: 1209, 3: 1211, 4: 1211, roll: 0.01, pitch: 0.00, yaw: 0.22,-0.019,-0.01,0.028, Alt: 6.00, Integrators ON
0.88125, 2: 1208, 3: 1212, 4: 1212, roll: 0.01, pitch: 0.00, yaw: 0.22,-0.017,-0.007,0.039, Alt: 6.00, Integrators ON
0.88125, 2: 1208, 3: 1212, 4: 1213, roll: 0.02, pitch: 0.01, yaw: 0.22,-0.025,-0.029,0.026, Alt: 6.00, Integrators ON
0.88125, 2: 1206, 3: 1212, 4: 1215, roll: 0.02, pitch: 0.01, yaw: 0.21,0.009,-0.009,0.023, Alt: 6.00, Integrators ON
0.881944444, 2: 1207, 3: 1211, 4: 1214, roll: 0.02, pitch: 0.01, yaw: 0.21,0.011,-0.026,0.017, Alt: 6.00, Integrators ON
0.882638889, 2: 1207, 3: 1210, 4: 1214, roll: 0.02, pitch: 0.02, yaw: 0.21,-0.002,-0.047,0.023, Alt: 6.05, Integrators ON
0.883333333, 2: 1206, 3: 1209, 4: 1215, roll: 0.02, pitch: 0.02, yaw: 0.21,-0.004,-0.049,0.024, Alt: 6.10, Integrators ON
0.884027778, 2: 1205, 3: 1208, 4: 1216, roll: 0.01, pitch: 0.03, yaw: 0.20,0.012,-0.051,0.024, Alt: 6.14, Integrators ON
0.885416667, 2: 1204, 3: 1207, 4: 1217, roll: 0.01, pitch: 0.04, yaw: 0.20,0.017,-0.05,0.022, Alt: 6.18, Integrators ON
0.886111111, 2: 1204, 3: 1205, 4: 1217, roll: 0.01, pitch: 0.04, yaw: 0.20,0.025,-0.041,0.014, Alt: 6.22, Integrators ON
0.886805556, 2: 1204, 3: 1204, 4: 1217, roll: 0.01, pitch: 0.05, yaw: 0.20,0.028,-0.026,0.019, Alt: 6.26, Integrators ON
0.886805556, 2: 1205, 3: 1204, 4: 1216, roll: 0.00, pitch: 0.05, yaw: 0.19,0.016,-0.035,0.027, Alt: 6.34, Integrators ON
0.886805556, 2: 1205, 3: 1204, 4: 1216, roll: 0.00, pitch: 0.06, yaw: 0.19,0.018,-0.047,0.026, Alt: 6.43, Integrators ON
0.8875, 2: 1204, 3: 1203, 4: 1217, roll: -0.00, pitch: 0.06, yaw: 0.19,0.039,-0.033,0.02, Alt: 6.50, Integrators ON
0.888194444, 2: 1205, 3: 1202, 4: 1216, roll: -0.01, pitch: 0.06, yaw: 0.18,0.028,-0.037,0.029, Alt: 6.57, Integrators ON
0.888888889, 2: 1205, 3: 1201, 4: 1216, roll: -0.01, pitch: 0.07, yaw: 0.18,0.043,-0.035,0.024, Alt: 6.69, Integrators ON
0.889583333, 2: 1206, 3: 1200, 4: 1215, roll: -0.02, pitch: 0.07, yaw: 0.18,0.034,-0.036,0.027, Alt: 6.81, Integrators ON
0.889583333, 2: 1206, 3: 1200, 4: 1215, roll: -0.02, pitch: 0.08, yaw: 0.17,0.066,-0.053,0.061, Alt: 6.91, Integrators ON
0.891666667, 2: 1206, 3: 1198, 4: 1215, roll: -0.03, pitch: 0.08, yaw: 0.16,0.03,-0.021,0.031, Alt: 7.06, Integrators ON
0.890972222, 2: 1207, 3: 1198, 4: 1215, roll: -0.03, pitch: 0.08, yaw: 0.16,0.026,-0.013,0.032, Alt: 7.20, Integrators ON
0.890972222, 2: 1207, 3: 1199, 4: 1214, roll: -0.04, pitch: 0.09, yaw: 0.16,0.031,-0.008,0.03, Alt: 7.34, Integrators ON
0.890277778, 2: 1207, 3: 1199, 4: 1214, roll: -0.04, pitch: 0.09, yaw: 0.15,0.037,0,0.028, Alt: 7.52, Integrators ON
0.890277778, 2: 1208, 3: 1199, 4: 1213, roll: -0.05, pitch: 0.09, yaw: 0.15,0.04,0.003,0.033, Alt: 7.69, Integrators ON
0.890277778, 2: 1209, 3: 1199, 4: 1212, roll: -0.05, pitch: 0.08, yaw: 0.15,0.044,0.01,0.027, Alt: 7.85, Integrators ON
0.890277778, 2: 1210, 3: 1199, 4: 1211, roll: -0.06, pitch: 0.08, yaw: 0.14,0.044,0.016,0.029, Alt: 8.05, Integrators ON
0.890277778, 2: 1211, 3: 1199, 4: 1210, roll: -0.06, pitch: 0.08, yaw: 0.14,0.044,0.02,0.029, Alt: 8.25, Integrators ON
