an, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
130381, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
130411, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
130442, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
130475, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
130505, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
130537, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
130568, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
130600, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
130631, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
130660, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
130691, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
130722, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
130753, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
130786, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
130818, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
130850, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
130881, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
130911, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
130941, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
130973, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
131004, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
131036, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
131068, 1:,1083, 2:,1083, 3:,1083, 4:,1083, roll:,-0.000, pirch:,0.000, yaw:,-0.001, nan, nan, infAlt:,6.00,Integrators ON, , VERT_SPD_HOLD = false
